jst,session,nikkei,nikkei_chg%,retreat_gate,n_candidates,top3,n_hot
2026-06-08 19:36,🌆夕,64025,-3.85,未点灯,58,3697;7735;6752,4
2026-06-09 06:45,🌅朝,66588,-1.31,未点灯,58,3697;7735;6752,4
2026-06-09 15:34,🌆夕,65302,2.0,未点灯,52,4704;3697;3436,15
2026-06-10 06:37,🌅朝,64025,-3.85,未点灯,56,4704;3697;6645,14
2026-06-10 15:51,🌆夕,64179,0.24,未点灯,61,4704;6963;6753,13
2026-06-12 08:23,🌅朝,64179,-1.89,未点灯,72,4704;6479;6645,9
2026-06-12 16:06,🌆夕,66020,2.81,未点灯,63,6479;3436;6762,14
2026-06-15 06:05,🌅朝,66020,2.81,未点灯,63,6479;3436;6762,14
2026-06-15 17:38,🌆夕,69318,4.99,未点灯,53,6479;7751;6702,21
2026-06-16 07:14,🌅朝,66020,2.81,未点灯,54,6479;7751;6702,21
2026-06-16 17:33,🌆夕,69404,5.13,未点灯,55,7751;6724;6753,21
2026-06-17 07:07,🌅朝,69318,4.99,未点灯,54,7751;6724;6753,21
2026-06-17 16:36,🌆夕,69902,0.72,未点灯,53,7751;4704;6724,20
2026-06-18 06:56,🌅朝,69404,0.13,未点灯,53,7751;4704;6724,20
2026-06-18 16:17,🌆夕,71053,1.65,未点灯,47,7751;4704;6724,24
2026-06-19 07:02,🌅朝,69902,0.72,未点灯,47,7751;4704;6724,24
2026-06-19 16:41,🌆夕,71250,1.93,未点灯,49,6479;7751;8304,21
2026-06-22 06:09,🌅朝,71250,0.28,未点灯,49,6479;7751;8304,21
2026-06-22 17:40,🌆夕,72354,1.55,未点灯,41,7751;8304;8591,27
2026-06-23 06:59,🌅朝,71250,0.28,未点灯,41,7751;8304;8591,27
2026-06-23 15:32,🌆夕,70052,-3.18,未点灯,54,6645;3436;7186,13
2026-06-24 06:27,🌅朝,72354,1.55,未点灯,56,6645;3436;8253,11
2026-06-24 15:30,🌆夕,69319,-0.67,未点灯,72,6963;6723;6861,12
2026-06-25 06:19,🌅朝,69788,-3.55,未点灯,69,6963;6861;6762,12
2026-06-25 15:32,🌆夕,72545,4.87,未点灯,74,7751;6861;6645,19
2026-06-26 06:27,🌅朝,69175,-0.88,未点灯,72,7751;6861;6645,19
2026-06-26 15:36,🌆夕,69184,-4.4,未点灯,72,6479;6963;3436,25
2026-06-29 05:56,🌅朝,69361,-4.15,未点灯,69,6479;6963;7751,27
2026-06-29 16:14,🌆夕,69468,0.15,未点灯,66,2269;3382;6479,23
2026-06-30 06:21,🌅朝,69361,-4.15,未点灯,66,2269;3382;6479,23
2026-06-30 15:39,🌆夕,70190,1.04,未点灯,63,2269;2502;3382,25
2026-07-01 06:24,🌅朝,69468,0.15,未点灯,64,2269;2502;3382,25
2026-07-01 15:52,🌆夕,70475,0.59,未点灯,64,6753;7751;6762,24
2026-07-02 06:23,🌅朝,70062,0.86,未点灯,64,6753;7751;6762,24
2026-07-02 15:24,🌆夕,68879,-2.26,未点灯,62,2914;2282;2002,24
2026-07-03 05:58,🌅朝,70475,0.59,未点灯,64,2914;2282;2002,24
2026-07-03 15:09,🌆夕,69535,1.17,未点灯,52,2914;2282;2502,24
2026-07-06 05:52,🌅朝,69744,1.47,未点灯,49,8304;8252;8697,27
2026-07-06 15:53,🌆夕,69738,-0.01,未点灯,35,2282;2914;8725,43
2026-07-07 06:24,🌅朝,69744,1.47,未点灯,49,8304;8697;8252,27
2026-07-07 15:30,🌆夕,68283,-2.09,未点灯,45,8725;8697;8591,40
2026-07-08 06:18,🌅朝,69738,-0.01,未点灯,35,2282;2914;8725,43
2026-07-08 14:37,🌆夕,67681,-0.84,未点灯,54,8725;8697;8795,35
2026-07-09 06:01,🌅朝,68257,-2.12,未点灯,48,8725;8697;8795,40
2026-07-09 15:32,🌆夕,67894,1.61,未点灯,73,3382;2914;2871,33
2026-07-10 06:17,🌅朝,66819,-2.11,未点灯,57,3382;2802;8725,35
2026-07-10 15:26,🌆夕,68604,1.27,未点灯,80,6723;6857;6752,33
2026-07-13 05:38,🌅朝,68558,1.2,未点灯,80,6723;6857;6752,30
2026-07-13 14:53,🌆夕,67141,-2.07,未点灯,70,8630;8766;8591,43
2026-07-14 05:53,🌅朝,68558,1.2,未点灯,80,6723;6857;7751,30
2026-07-14 14:15,🌆夕,67418,0.26,未点灯,41,2503;2871;2269,59
2026-07-15 05:54,🌅朝,67243,-1.92,未点灯,67,8630;8766;8750,42
2026-07-15 14:15,🌆夕,68779,2.28,未点灯,63,3382;2502;2503,50
2026-07-16 05:54,🌅朝,67744,0.74,未点灯,53,2871;3382;2502,56
2026-07-16 14:25,🌆夕,66692,-3.0,未点灯,53,3382;2503;2502,55
2026-07-17 05:52,🌅朝,68752,1.49,未点灯,55,3382;2503;2502,52
2026-07-17 14:27,🌆夕,63329,-5.25,点灯,71,3659;2871;2503,22
2026-07-20 05:40,🌅朝,64141,-4.03,未点灯,73,3659;2871;2502,27
2026-07-20 14:54,🌆夕,64141,-4.03,未点灯,73,3659;2871;2502,27
2026-07-21 06:06,🌅朝,64141,-4.03,未点灯,73,3659;2871;2502,27
2026-07-21 14:36,🌆夕,65665,2.38,未点灯,62,3659;4751;3382,37
2026-07-22 06:01,🌅朝,64141,-4.03,未点灯,73,3659;2871;2502,27
