コード,銘柄名,セクター
6330,東洋エンジニアリング,プラント
1662,石油資源開発,資源・エネルギー
1605,INPEX,資源・エネルギー
7011,三菱重工業,重工・防衛
7013,IHI,重工・防衛
6141,DMG森精機,工作機械
6157,日進工具,工作機械
3436,SUMCO,半導体
6981,村田製作所,半導体
5401,日本製鉄,鉄鋼・素材
3402,東レ,鉄鋼・素材
3036,アルコニックス,鉄鋼・素材
6857,Advantest,日経225
9202,ANA Holdings,日経225
9201,Japan Airlines,日経225
7267,Honda Motor,日経225
7202,Isuzu Motors,日経225
7261,Mazda Motor,日経225
7211,Mitsubishi Motors,日経225
7201,Nissan,日経225
7270,Subaru,日経225
7269,Suzuki Motor,日経225
7203,Toyota Motor,日経225
7272,Yamaha Motor Company,日経225
8304,Aozora Bank,日経225
8331,Chiba Bank,日経225
8354,Fukuoka Financial Group,日経225
8306,Mitsubishi UFJ Financial Group,日経225
8411,Mizuho Financial Group,日経225
8308,Resona Holdings,日経225
5831,5831,日経225
8316,Sumitomo Mitsui Financial Group,日経225
8309,Sumitomo Mitsui Trust Holdings,日経225
7186,Yokohama Financial Group,日経225
3407,Asahi Kasei,日経225
4061,Denka,日経225
4901,Fujifilm Holdings,日経225
4452,Kao Corp.,日経225
3405,Kuraray,日経225
4188,Mitsubishi Chemical Holdings,日経225
4183,Mitsui Chemicals,日経225
4021,Nissan Chemical Industries,日経225
6988,Nitto Denko,日経225
4004,Resonac,日経225
4063,Shin-Etsu Chemical,日経225
4911,Shiseido,日経225
4005,Sumitomo Chemical,日経225
4043,Tokuyama Corporation,日経225
4042,Tosoh,日経225
4208,Ube Industries,日経225
1721,Comsys Holdings,日経225
1925,Daiwa House Industry,日経225
1808,Haseko Corp.,日経225
1963,JGC Corporation,日経225
1812,Kajima,日経225
1802,Obayashi Corp.,日経225
1928,Sekisui House,日経225
1803,Shimizu,日経225
1801,Taisei,日経225
6770,Alps Alpine,日経225
7751,Canon Inc.,日経225
6902,Denso,日経225
6954,FANUC,日経225
6504,Fuji Electric,日経225
6702,Fujitsu,日経225
6501,Hitachi,日経225
6861,Keyence,日経225
6971,Kyocera,日経225
6920,Lasertec,日経225
6479,MinebeaMitsumi,日経225
6503,Mitsubishi Electric,日経225
6701,NEC,日経225
6594,Nidec,日経225
6645,Omron,日経225
6752,Panasonic,日経225
6723,Renesas Electronics,日経225
7752,Ricoh,日経225
6963,Rohm,日経225
7735,SCREEN Holdings,日経225
6724,Seiko Epson,日経225
6753,Sharp Corporation,日経225
6758,Sony,日経225
6526,Socionext,日経225
6976,Taiyo Yuden,日経225
6762,TDK,日経225
8035,Tokyo Electron,日経225
